"Incident.Date","District","Outcome.of.Shots.Fired","Incident.Type","Subject.Weapon","Subject.Age","Subject.Sex","Subject.Ethnicity","Link.to.IPCA.Investigation.Public.Report"
2016-04-02,"Bay of Plenty","Fatal","Arrest/Gun fight",NA,NA,"M","Maori",NA
2016-04-02,"Bay of Plenty","Fatal","Arrest/Gun fight",NA,NA,"M","Maori",NA
2016-04-02,"Bay of Plenty","Non-fatal injury","Arrest/Gun fight",NA,NA,"M","Maori",NA
2016-04-02,"Bay of Plenty","Non-fatal injury","Arrest/Gun fight",NA,NA,"M","Maori",NA
2041-10-20,"Tasman","Fatal","Homicide (multiple)",NA,NA,"M","Unknown",NA
2049-12-14,"Canterbury","Fatal","Discharge firearms at police and public",NA,NA,"M","Unknown",NA
1969-07-07,"Northland","Non-fatal injury","Kidnapping/Hostage situation; threaten/discharge firearms","Rifle; Shotgun",NA,"M","Unknown",NA
1970-04-16,"Wellington","Fatal","Hostage situation; threaten Police with firearm","Shotgun (cut down)",NA,"M","Unknown",NA
1971-01-05,"Waikato","Non-fatal injury","Accidental; situation unknown",NA,NA,NA,"Unknown",NA
1975-06-01,"Canterbury","Fatal","1M - mental health; stabbing",NA,NA,"M","Unknown",NA
1976-01-04,"Central","Fatal","Discharge firearms at police",NA,NA,"M","Unknown",NA
1979-05-20,"Waitemata","Fatal","1D - domestic dispute incident",NA,NA,"M","Unknown",NA
1982-12-24,"Wellington","Fatal","Assault police with weapon","Bludgeoning weapon",NA,"M","Unknown",NA
1983-01-28,"Auckland","Non-fatal injury","Hostage situation; threaten with firearm","Shotgun",18,"M","Unknown",NA
1983-04-18,"Wellington","Fatal","Execute search warrant; threaten police with weapon","Bludgeoning weapon",26,"M","Maori",NA
1985-06-06,"Southern","Fatal","Homicide","Shotgun",32,"M","European",NA
1986-04-07,"Bay of Plenty","Non-fatal injury","Homicide","Shotgun",18,"M","Maori",NA
1986-03-14,"Northland","Fatal","Robbery; hostage situation",NA,NA,"M","Unknown",NA
1990-10-27,"Auckland","Fatal","Threaten police with firearm","Shotgun",NA,"M","Unknown",NA
1990-11-14,"Southern","Fatal","Homicide (multiple)","Rifle",33,"M","European",NA
1991-01-25,"Southern","Non-fatal injury","Discharge firearm at police","Rifle",NA,"M","Unknown",NA
1991-12-30,"Central","Non-fatal injury","Armed robbery","Shotgun; Rifle",36,"M","European",NA
1993-07-29,"Waikato","Fatal","Hostage situation; threaten police and public with weapon","Cutting/stabbing weapon",47,"M","European",NA
1994-09-17,"Northland","Non-fatal injury","1C - car/person acting suspiciously","Cutting/stabbing weapon",22,"M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=104278"
1995-07-19,"Wellington","Non-fatal injury","1M - mental health incident","Rifle",57,"M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=104275"
1995-09-27,"Southern","Fatal","1M - mental health incident; siege; discharge firearm","Rifle",34,"M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=104274"
1995-11-20,"Northland","Fatal","1M - mental health incident; discharge firearm","Rifle (cut down)",NA,"M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=104273"
1996-02-06,"Tasman","Non-fatal injury","1D - domestic dispute incident","Cutting/stabbing weapon",25,"M","European",NA
1996-06-24,"Eastern","Fatal","Homicide","Rifle",43,"M","Maori","https://www.ipca.govt.nz/includes/download.aspx?ID=104266"
1996-08-29,"Auckland","Non-fatal injury","1M - mental health incident; hostage situation","Cutting/stabbing weapon",24,"F","European","https://www.ipca.govt.nz/includes/download.aspx?ID=104264"
1996-09-21,"Counties Manukau","Fatal","Threaten/discharge firearm","Rifle",46,"M","Maori","https://www.ipca.govt.nz/includes/download.aspx?ID=104259"
1998-08-26,"Canterbury","Non-fatal injury","Hostage situation; threaten/discharge firearm","Shotgun (cut down)",20,"M","European",NA
1998-12-21,"Wellington","Non-fatal injury","Robbery","Shotgun",26,"M","Maori",NA
1999-04-23,"Canterbury","Non-fatal injury","Threaten police with firearm","Shotgun",60,"M","Maori",NA
1999-07-01,"Waitemata","Fatal","1S - sudden death","Replica firearm",31,"M","Pacific peoples","https://www.ipca.govt.nz/includes/download.aspx?ID=104251"
1999-08-06,"Waitemata","Non-fatal injury","1D - domestic dispute incident","Cutting/stabbing weapon",33,"M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=105096"
2000-02-16,"Southern","Non-fatal injury","Threaten police with weapon","Cutting/stabbing weapon",26,"M","Maori","https://www.ipca.govt.nz/includes/download.aspx?ID=104250"
2000-04-30,"Central","Fatal","Threaten police with weapon","Bludgeoning weapon",23,"M","Maori","https://www.ipca.govt.nz/includes/download.aspx?ID=101402"
2001-05-31,"Wellington","Miss","Kidnapping; aggravated robbery",NA,31,"M","Unknown",NA
2001-11-21,"Canterbury","Non-fatal injury","Threaten police with weapon","Cutting/stabbing weapon",32,"M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=101424"
2002-10-01,"Counties Manukau","Non-fatal injury","Threaten police","No weapon",26,"M","Pacific peoples",NA
2004-04-20,"Waitemata","Non-fatal injury","Threaten police with weapon","Cutting/stabbing weapon",37,"M","Pacific peoples","https://www.ipca.govt.nz/includes/download.aspx?ID=101418"
2004-06-16,"Auckland","Miss","2Z - Other service request response","No weapon",27,"M","European",NA
2004-08-14,"Counties Manukau","Fatal","1D - domestic dispute incident","Cutting/stabbing weapon",37,"M","MELAA","https://www.ipca.govt.nz/includes/download.aspx?ID=101419"
2005-11-28,"Waitemata","Non-fatal injury","1110 - Homicide","Cutting/stabbing weapon",34,"M","European",NA
2007-01-06,"Wellington","Non-fatal injury","6820 - Firearms offences","Shotgun",35,"M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=101413"
