Incident Date,District,Outcome of Shots Fired,Incident Type,Subject Weapon,Subject Age,Subject Sex,Subject Ethnicity,Link to IPCA Investigation Public Report
23/04/99,Canterbury,Non-fatal injury,Threaten police with firearm,Shotgun,60,M,Maori,
1/07/99,Waitemata,Fatal,1S - sudden death,Replica firearm,31,M,Pacific peoples,https://www.ipca.govt.nz/includes/download.aspx?ID=104251
6/08/99,Waitemata,Non-fatal injury,1D - domestic dispute incident,Cutting/stabbing weapon,33,M,European,https://www.ipca.govt.nz/includes/download.aspx?ID=105096
16/02/00,Southern,Non-fatal injury,Threaten police with weapon,Cutting/stabbing weapon,26,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=104250
30/04/00,Central,Fatal,Threaten police with weapon,Bludgeoning weapon,23,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=101402
31/05/01,Wellington,Miss,Kidnapping; aggravated robbery,,31,M,Unknown,
21/11/01,Canterbury,Non-fatal injury,Threaten police with weapon,Cutting/stabbing weapon,32,M,Unknown,https://www.ipca.govt.nz/includes/download.aspx?ID=101424
1/10/02,Counties Manukau,Non-fatal injury,Threaten police,No weapon,26,M,Pacific peoples,
20/04/04,Waitemata,Non-fatal injury,Threaten police with weapon,Cutting/stabbing weapon,37,M,Pacific peoples,https://www.ipca.govt.nz/includes/download.aspx?ID=101418
16/06/04,Auckland,Miss,2Z - Other service request response,No weapon,27,M,European,
14/08/04,Counties Manukau,Fatal,1D - domestic dispute incident,Cutting/stabbing weapon,37,M,MELAA,https://www.ipca.govt.nz/includes/download.aspx?ID=101419
