"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"9/03/2016","Bay of Plenty","Miss","4O - other special/major ices/includes/download.ashx?IDoperation","Rifle","27","M","Māori","https://most0010142.expert.serv=152235"
"24/03/2016","Central","Non-fatal injury","1C – car/person acting suspiciously","Replica firearm","49","M","Pacific peoples","https://www.ipca.govt.nz/includes/download.ashx?ID=148440"
"10/06/2016","Waikato","Fatal","1D - domestic dispute incident","Cutting/stabbing weapon","57","M","European","https://www.ipca.govt.nz/includes/download.ashx?ID=149056"
"12/07/2016","Waikato","Fatal","1S - sudden death","Shotgun","36","M","European","https://www.ipca.govt.nz/includes/download.ashx?ID=148172"
"14/07/2016","Bay of Plenty","Fatal","Assault","Cutting/stabbing weapon","35","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=148377"
"6/01/2017","Central","Fatal","1S - sudden death","Shotgun (cut down)","32","M","Asian","https://www.ipca.govt.nz/includes/download.ashx?ID=150082"
"4/02/2017","Canterbury","Non-fatal injury","1X - threaten/attempt suicide","Replica firearm","24","M","European","https://www.ipca.govt.nz/includes/download.ashx?ID=149445"
"","","","","","","","","https://most0010142.expert.serv"
"26/02/2017","Wellington","Fatal","2R - recovery motor vehicle","Cutting/stabbing weapon","44","M","European","ices/includes/download.ashx?ID=150490"
"7/07/2017","Tasman","Non-fatal injury","3T - turnover","No weapon","34","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=152448"
"","","","","","","","","https://most0010142.expert.serv"
"26/07/2017","Northland","Fatal-cause ices/includes/download.ashx?IDunconfirmed","Homicide","Rifle MSSA","56","M","European","=152248"
